199,426
199,480
199,530
202,581
217,630
250,669
291,703
341,730
397,738
454,732
501,709
540,677
570,637
585,589
590,540
595,493
600,443
246,389
271,358
311,340
354,339
393,355
447,357
486,345
528,351
563,374
579,410
419,397
418,427
417,457
416,488
372,517
392,525
412,531
433,527
450,521
292,408
314,393
341,394
363,413
339,416
313,416
464,418
490,402
516,404
534,421
515,426
490,424
319,588
355,575
388,570
408,575
431,572
458,581
486,595
456,613
428,619
406,619
383,617
352,608
332,589
387,591
408,593
430,592
472,595
429,593
406,594
385,592
